codigo,nombre,area,creditos
LCOM1,LENGUAJE Y COMUNICACION I,General,4
LCOM2,LENGUAJE Y COMUNICACION II,General,3
PSICO,PROCESOS PSICOLOGICOS,General,3
ETICA,ETICA CIUDADANA,General,2
METINV,METODOLOGIAS DE INVESTIGACION,General,3
COMINT,INTRODUCCION AL COMERCIO INTERNACIONAL,General,3
ECON,FUNDAMENTOS DE ECONOMIA,General,3
FILO,FILOSOFIA APLICADA,General,3
GERENC,DESARROLLO DE COMPETENCIAS GERENCIALES,General,3
INGING,INTRODUCCION A LA INGENIERIA,General_Ingenieria,3
FISSIS,FISICA PARA SISTEMAS,General_Ingenieria,4
COSTOP,COSTEO DE OPERACIONES,General_Ingenieria,3
SSOB,SEGURIDAD SALUD OCUPACIONAL Y BIENESTAR ORGANIZACIONAL,General_Ingenieria,3
PRECAL,PRECALCULO,Matematica,5
ALGEB,ALGEBRA LINEAL,Matematica,3
CALC1,CALCULO I,Matematica,5
CALC2,CALCULO II,Matematica,5
CALC3,CALCULO III,Matematica,3
ESTPROB,ESTADISTICA Y PROBABILIDAD,Matematica,4
ESTAPL,ESTADISTICA APLICADA,Matematica,4
IO1,INVESTIGACION DE OPERACIONES I,Matematica,4
SIM,SIMULACION,Matematica,3
PROPINV,PROPUESTA DE INVESTIGACION,General_Sistemas,3
SEMINV1,SEMINARIO DE INVESTIGACION I,General_Sistemas,4
SEMINV2,SEMINARIO DE INVESTIGACION II,General_Sistemas,4
GFIN,GESTION FINANCIERA,General_Sistemas,3
AUDCTRL,AUDITORIA Y CONTROL DE SISTEMAS,General_Sistemas,3
GPROY,GESTION DE PROYECTOS,General_Sistemas,3
PROINT,PROYECTO INTEGRADOR DE SISTEMAS,General_Sistemas,4
SISORG,SISTEMAS ORGANIZACIONALES,Procesos,2
MODINTSIS,MODELACION E INTEGRACION DE SISTEMAS,Procesos,3
INGPROCNEG,INGENIERIA DE PROCESOS DE NEGOCIO,Procesos,3
GESTOP,GESTION DE OPERACIONES,Procesos,3
ERP,SISTEMAS ERP,Procesos,3
SIE,SISTEMAS DE INTELIGENCIA EMPRESARIAL,Procesos,4
PLANEST,PLANEAMIENTO ESTRATEGICO,Procesos,3
INNDIG,INNOVACION DIGITAL,Procesos,3
ARQEMP,ARQUITECTURA EMPRESARIAL,Procesos,3
GBD,GESTION DE BASE DE DATOS,Datos,3
INGCON,INGENIERIA DEL CONOCIMIENTO,Datos,3
BIGDATA,ANALITICA CON BIG DATA,Datos,3
ANNEG,ANALITICA DE NEGOCIOS,Datos,3
IAAPL,INTELIGENCIA ARTIFICIAL APLICADA,IA,3
ML,APRENDIZAJE DE MAQUINA,IA,4
DL,DEEP LEARNING,IA,3
INTPROG,INTRODUCCION A LA PROGRAMACION,Software,4
ESDIS,ESTRUCTURAS DISCRETAS DE COMPUTACION,Software,4
POO,PROGRAMACION ORIENTADA A OBJETOS,Software,4
EDD1,ESTRUCTURAS DE DATOS I,Software,4
EDD2,ESTRUCTURAS DE DATOS II,Software,4
MODBD,MODELAMIENTO DE BASE DE DATOS,Software,4
PROGWEB,PROGRAMACION WEB,Software,3
ISW1,INGENIERIA DE SOFTWARE I,Software,4
ISW2,INGENIERIA DE SOFTWARE II,Software,4
PARPROG,PARADIGMAS DE PROGRAMACION,Software,3
ADA,ANALISIS Y DISENO DE ALGORITMOS,Software,3
PROGMOV,PROGRAMACION MOVIL,Software,3
PROYDS,PROYECTO DE DESARROLLO DE SOFTWARE,Software,3
ARQSOFT,ARQUITECTURA DE SOFTWARE,Software,3
IHC,INTERACCION HUMANO COMPUTADORA,Software,3
STORY,STORYTELLING,Software,3
DISVID,DISENO DE VIDEOJUEGOS,Software,5
NARGRAF,NARRATIVA GRAFICA,Software,3
PROYVID,PROYECTO DE VIDEOJUEGOS,Software,3
ARQCOMP,ARQUITECTURA DE COMPUTADORAS,TI,4
SISOP,SISTEMAS OPERATIVOS,TI,4
REDES,REDES DE COMPUTADORAS,TI,4
CIBER,CIBERSEGURIDAD,TI,4
SEGSIS,SEGURIDAD DE SISTEMAS,TI,4
IOT,INTERNET DE LAS COSAS,TI,3
REDAV,REDES AVANZADAS,TI,3
CIBERAV,TOPICOS AVANZADOS EN CIBERSEGURIDAD,TI,3
SISDIST,SISTEMAS DISTRIBUIDOS,TI,3
CLOUD,COMPUTACION EN LA NUBE,TI,3
GSDIG,GESTION DE SERVICIOS DIGITALES,TI,4
ARQTI,ARQUITECTURA DE TECNOLOGIAS DE LA INFORMACION,TI,3
DEVOPS,DEVOPS,TI,3
